"scenario_id","block","n","x_type","cov_effect","target_censor2","H_quantile","tau_design","tau_H_true","method","n_boot_datasets","coverage","mean_width","median_width","mean_point","bias","mse","mean_n_boot_valid"
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"ipcw_marg",300,0.95,0.237581941185735,0.235420277998886,-0.0756161877313319,-0.00355320476744927,0.00327349582393254,500
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"ipcw_marg",300,0.956666666666667,0.198375991494687,0.197062930421047,0.37971864063565,-0.00257276232645371,0.00238707318049222,500
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"ipcw_marg",300,0.94,0.233373397528046,0.231696438274568,-0.0719814153270229,0.0151600335627819,0.00376687259377072,500
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"ipcw_marg",300,0.93,0.202601861080021,0.201903649666624,0.347230914578074,0.0227201911222139,0.00331196686332677,500
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"ipcw_marg",300,0.953333333333333,0.243570026734016,0.24294810637926,-0.0421635505133533,-0.0115466344630533,0.00398542192591278,500
164,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0295214329638835,"ipcw_marg",300,0.926666666666667,0.230074368602308,0.230353263734817,-0.0469749290153244,-0.0174534960514409,0.00405507931866265,500
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"ipcw_marg",300,0.96,0.184996673951589,0.183519552273998,0.436749438878001,0.00137674579234205,0.00192080744855775,500
176,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.43454214629554,"ipcw_marg",300,0.923333333333333,0.177938840947192,0.177534539174759,0.439803825678403,0.00526167938286334,0.00217153659088983,500
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"ipcw_x",300,0.976666666666667,0.29490371053841,0.271514443949163,-0.0734264485466992,-0.00136346558281662,0.00450714082859894,500
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"ipcw_x",300,0.966666666666667,0.237105489415241,0.228359914703772,0.381885408954508,-0.00040599400759589,0.00383808976298507,500
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"ipcw_x",300,0.943333333333333,0.34695680257871,0.337046659973181,-0.0651340182861381,0.0220074306036667,0.0138379700533446,500
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"ipcw_x",300,0.936666666666667,0.271599202636709,0.256768195233948,0.30618616148099,-0.0183245619748705,0.00896446395262302,500
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"ipcw_x",300,0.973333333333333,0.449673109470785,0.44138372441654,-0.0192869489033757,0.0113299671469243,0.0220990440012577,500
164,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0295214329638835,"ipcw_x",300,0.983333333333333,0.445494242303576,0.4510878503606,-0.0386949472132453,-0.00917351424936181,0.0212143193622726,500
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"ipcw_x",300,0.986666666666667,0.319912063017841,0.306923992149639,0.428258053427306,-0.00711463965835294,0.00956397066176413,500
176,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.43454214629554,"ipcw_x",300,0.996666666666667,0.326571324614035,0.305837330763671,0.429346456190278,-0.00519569010526157,0.010769774802493,500
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"ps_marg_logit",300,0.973333333333333,0.203726087025608,0.200654281576193,-0.0706450873603492,0.00141789560353343,0.00213884823213922,500
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"ps_marg_logit",300,0.826666666666667,0.18126582509859,0.179376887649132,0.333276147451809,-0.0490152555102948,0.00434384034409288,500
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"ps_marg_logit",300,0.943333333333333,0.203288144069081,0.202436905873501,-0.0729277033452688,0.014213745544536,0.00275829832348104,500
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"ps_marg_logit",300,0.94,0.189248073220045,0.189048320677594,0.31762904387275,-0.00688167958311045,0.00239695565549697,500
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"ps_marg_logit",300,0.94,0.219054100024751,0.218850564177734,-0.0436593556243028,-0.0130424395740028,0.00329452225146132,500
164,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0295214329638835,"ps_marg_logit",300,0.923333333333333,0.214045532730385,0.213133389121003,-0.0422016185065235,-0.0126801855426401,0.0033716218898007,500
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"ps_marg_logit",300,0.93,0.178962446443798,0.176867526792718,0.403450467603464,-0.0319222254821954,0.00285849509175685,500
176,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.43454214629554,"ps_marg_logit",300,0.916666666666667,0.172695902357714,0.170357651856107,0.412176813547186,-0.0223653327483542,0.0024549247308246,500
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"ps_x_logit",300,0.98,0.204688369700953,0.202365737436491,-0.070630597482829,0.00143238548105359,0.0022481880142252,500
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"ps_x_logit",300,0.82,0.181483830638295,0.179051017629498,0.335963032931733,-0.0463283700303713,0.00411082014096211,500
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"ps_x_logit",300,0.933333333333333,0.204825981657165,0.205245111026079,-0.0716387323290033,0.0155027165608015,0.00290748117924412,500
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"ps_x_logit",300,0.953333333333333,0.189550694913296,0.18790849726231,0.317207460089971,-0.00730326336588922,0.00248750412289767,500
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"ps_x_logit",300,0.943333333333333,0.221273788218246,0.220230046398889,-0.0405090183096923,-0.00989210225939233,0.00324214560066243,500
164,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0295214329638835,"ps_x_logit",300,0.93,0.21475628906492,0.213603323542907,-0.045784214674019,-0.0162627817101355,0.00353386897650623,500
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"ps_x_logit",300,0.936666666666667,0.178789996724904,0.17696085144896,0.405972390510933,-0.0294003025747258,0.00266430462526413,500
