"scenario_id","block","n","x_type","cov_effect","target_censor2","H_quantile","tau_design","tau_H_true","method","n_boot_datasets","coverage","mean_width","median_width","mean_point","bias","mse","mean_n_boot_valid"
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"gscap_x_l050",300,0.986666666666667,0.284794911277945,0.269998540453303,-0.073823717230331,-0.00176073426644842,0.00451182974665432,500
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"gscap_x_l050",300,0.966666666666667,0.237540452169798,0.224787245117461,0.365423972251262,-0.0168674307108422,0.0035294105171594,500
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"gscap_x_l050",300,0.953333333333333,0.334205830032744,0.325782502072744,-0.0684228980926804,0.0187185507971243,0.0114086498733032,500
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"gscap_x_l050",300,0.93,0.277163881375423,0.262270903316874,0.287821319505634,-0.0366894039502264,0.00817214373432665,500
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"gscap_x_l050",300,0.986666666666667,0.430800527907514,0.426180815452201,-0.030785286415501,-0.000168370365200975,0.0182365823642969,500
164,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0295214329638835,"gscap_x_l050",300,0.993333333333333,0.432952325481696,0.431790298871481,-0.0404332219107019,-0.0109117889468184,0.0147611919918014,500
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"gscap_x_l050",300,0.973333333333333,0.332922695964848,0.325592551975145,0.399460153326155,-0.0359125397595035,0.00897660199984434,500
176,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.43454214629554,"gscap_x_l050",300,0.986666666666667,0.340614899483215,0.334286731101175,0.393879414399832,-0.0406627318957079,0.0113204849734998,500
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"gscap_x_l100",300,0.99,0.294146834623129,0.284074052289462,-0.0703120290290034,0.0017509539348792,0.00341265520754984,500
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"gscap_x_l100",300,0.956666666666667,0.259509419751449,0.235533965864279,0.345466053545454,-0.0368253494166504,0.00491847156467934,500
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"gscap_x_l100",300,0.956666666666667,0.343248340911202,0.329358418587165,-0.0664666326967901,0.0206748161930147,0.0106736547867787,500
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"gscap_x_l100",300,0.876666666666667,0.304560079305477,0.283442359113647,0.270641223725442,-0.0538694997304177,0.00997849061032164,500
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"gscap_x_l100",300,0.986666666666667,0.455060254099108,0.448020151013771,-0.036708657105781,-0.00609174105548105,0.0176524731316906,500
164,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0295214329638835,"gscap_x_l100",300,0.993333333333333,0.456889127738569,0.455598564660051,-0.0364570219592316,-0.00693558899534814,0.0161669475524766,500
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"gscap_x_l100",300,0.97,0.383857217945183,0.369055127506691,0.379225535312954,-0.0561471577727049,0.0119798103253693,500
176,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.43454214629554,"gscap_x_l100",300,0.973333333333333,0.389000936721609,0.377311074741498,0.366207750138517,-0.0683343961570225,0.0168252073233688,500
