"method","estimate","boot_mean","boot_bias","boot_se","ci_perc_l","ci_perc_median","ci_perc_u","ci_norm_l","ci_norm_u","ci_width_perc","n_boot_valid"
"gscap_x_l050",-0.0669239120891398,-0.0690846086608447,-0.0021606965717049,0.0558471069565288,-0.175199489106007,-0.0680138031564067,0.0403468217437586,-0.176384241723936,0.0425364175456566,0.215546310849766,2000
"gscap_x_l100",-0.0823887385522962,-0.085309561004965,-0.00292082245266878,0.0521429882403026,-0.186490236312941,-0.084249100365245,0.016716660003417,-0.184588995503289,0.0198115183986969,0.203206896316358,2000
"ipcw_marg",-0.0547706000160341,-0.0549488655008672,-0.000178265484833046,0.0665339727154328,-0.186475127063912,-0.0546425128208337,0.0729627886422224,-0.185177186538282,0.0756359865062141,0.259437915706135,2000
"ipcw_x",-0.0543692924468431,-0.0545506165844671,-0.000181324137623992,0.0665431970022909,-0.185984293513184,-0.0540935376760459,0.0733444897527989,-0.184793958571333,0.076055373677647,0.259328783265983,2000
"ps_marg_logit",-0.0263150490277932,-0.0423209901396594,-0.0160059411118662,0.0595935845590118,-0.161239075745735,-0.0416793004577383,0.0729335445357056,-0.143118474763456,0.0904883767078699,0.234172620281441,2000
"ps_x_logit",-0.0282988362880425,-0.0358692112295782,-0.00757037494153569,0.059886898729252,-0.15523289526089,-0.0357576266999573,0.0782803280222755,-0.145677157797376,0.0890794852212914,0.233513223283165,2000
"ps_x_spline",-0.169720893686729,-0.146441217748716,0.0232796759380125,0.0667025707760674,-0.27351859338739,-0.1478633741931,-0.017643866767929,-0.300457932407821,-0.0389838549656366,0.255874726619461,2000
"scap_x_l050",-0.067370166791951,-0.0694204495480253,-0.00205028275607436,0.0559096375230506,-0.175369412739387,-0.06848501946016,0.0403220111507858,-0.17695305633713,0.0422127227532282,0.215691423890173,2000
"scap_x_l075",-0.0746241328622372,-0.0771786873229481,-0.00255455446071082,0.0531768831293828,-0.181614110397151,-0.0758471175828924,0.0254265848561288,-0.178850823795828,0.0296025580713531,0.207040695253279,2000
"trad",-0.0552098373440222,-0.0553806204045304,-0.000170783060508287,0.0665153688483161,-0.186668322264613,-0.054962536570186,0.0727020532414264,-0.185579960286722,0.0751602855986775,0.259370375506039,2000
