"method","tau_H","M_hat","ess","sum_weights","H","H_quantile"
"gscap_x_l050",-0.0657901059530826,0.124060498295378,100.186798717558,80.0190214005191,150,0.7
"gscap_x_l100",-0.0794724522253226,0.119715126054321,112.462055976476,77.216256305037,150,0.7
"ipcw_marg",-0.0547706000160341,0.128259431176291,80.9728125351334,82.7273331087077,150,0.7
"ipcw_x",-0.0543692924468431,0.128405870536436,80.9648957946257,82.8217864960011,150,0.7
"ps_marg_logit",-0.0244841265790874,0.118975560900355,106.967280332912,0.149180265689161,150,0.7
"ps_x_logit",-0.0346709916131343,0.119298176823438,102.78239665567,0.148922348115426,150,0.7
"ps_x_spline",-0.170270972983977,0.126257552124002,94.5986389045379,0.12758938726743,150,0.7
"scap_x_l050",-0.066457251898529,0.123960362816435,100.019373803691,0.142871363913131,150,0.7
"scap_x_l075",-0.0729520077320028,0.121863482211043,107.877642568731,0.150217064928864,150,0.7
"scap_x_l100",-0.0800994150868655,0.119764723110928,112.438526902546,0.157552177052533,150,0.7
"trad",-0.0552098373440222,0.128148449580023,80.9798361750233,0.128148449580023,150,0.7
"gscap_x_l050",-0.0654921966995943,0.125865541833628,102.995641528109,81.1832744826899,152,0.8
"gscap_x_l100",-0.0789030914706279,0.12332521313082,118.637538350577,79.5447624693786,152,0.8
"ipcw_marg",-0.0547706000160341,0.128259431176291,80.9728125351334,82.7273331087077,152,0.8
"ipcw_x",-0.0543692924468431,0.128405870536436,80.9648957946257,82.8217864960011,152,0.8
"ps_marg_logit",-0.0223972774258277,0.12232606664999,112.480969504032,0.149180265689161,152,0.8
"ps_x_logit",-0.029089568481459,0.123475803244015,109.02722660278,0.148922348115426,152,0.8
"ps_x_spline",-0.168137440421159,0.126852848031236,95.4685466817979,0.12758938726743,152,0.8
"scap_x_l050",-0.0660797593915851,0.125748759498372,102.799791761145,0.142871363913131,152,0.8
"scap_x_l075",-0.0724252422920019,0.124551206404722,112.340497739221,0.150217064928864,152,0.8
"scap_x_l100",-0.0794291901104906,0.123355194737421,118.57361794238,0.157552177052533,152,0.8
"trad",-0.0552098373440222,0.128148449580023,80.9798361750233,0.128148449580023,152,0.8
"gscap_x_l050",-0.0669239120891398,0.128107700830732,106.544024181859,82.6294670358223,155,0.9
"gscap_x_l100",-0.0823887385522962,0.127809531125029,126.545357337838,82.4371475756435,155,0.9
"ipcw_marg",-0.0547706000160341,0.128259431176291,80.9728125351334,82.7273331087077,155,0.9
"ipcw_x",-0.0543692924468431,0.128405870536436,80.9648957946257,82.8217864960011,155,0.9
"ps_marg_logit",-0.0263150490277932,0.126478908330717,119.459420468322,0.149180265689161,155,0.9
"ps_x_logit",-0.0282988362880425,0.127976593226831,116.255187716026,0.148922348115426,155,0.9
"ps_x_spline",-0.169720893686729,0.127480002307296,96.3805316490304,0.12758938726743,155,0.9
"scap_x_l050",-0.067370166791951,0.127955531427211,106.289953052805,0.142871363913131,155,0.9
"scap_x_l075",-0.0746241328622372,0.127863898833187,117.979069156388,0.150217064928864,155,0.9
"scap_x_l100",-0.0826787298979025,0.127775484337942,126.368562942558,0.157552177052533,155,0.9
"trad",-0.0552098373440222,0.128148449580023,80.9798361750233,0.128148449580023,155,0.9
"gscap_x_l050",-0.0692545472480073,0.129049390735377,108.060326390002,83.2368570243185,157,0.95
"gscap_x_l100",-0.0869984214899697,0.129692910934319,129.981879682183,83.6519275526359,157,0.95
"ipcw_marg",-0.0547706000160341,0.128259431176291,80.9728125351334,82.7273331087077,157,0.95
"ipcw_x",-0.0543692924468431,0.128405870536436,80.9648957946257,82.8217864960011,157,0.95
"ps_marg_logit",-0.0285042880018767,0.128217763109645,122.464180097519,0.149180265689161,157,0.95
"ps_x_logit",-0.0302247725302286,0.129351573501198,118.558618207874,0.148922348115426,157,0.95
"ps_x_spline",-0.169500265035506,0.127551786045114,96.4882574210198,0.12758938726743,157,0.95
"scap_x_l050",-0.0696256100133072,0.128857682239819,107.74220215084,0.142871363913131,157,0.95
"scap_x_l075",-0.077997594275726,0.129216949017731,120.344428713471,0.150217064928864,157,0.95
"scap_x_l100",-0.0871419869165401,0.129579309913732,129.664367874938,0.157552177052533,157,0.95
"trad",-0.0552098373440222,0.128148449580023,80.9798361750233,0.128148449580023,157,0.95
