"lambda","tau_H","M_hat","ess","H","H_quantile"
0,-0.0552098373440222,0.128148449580023,80.9798361750233,155,0.9
0.1,-0.0573952803776489,0.128108836400744,85.8511855637051,155,0.9
0.2,-0.0597031574373393,0.128069737971344,90.8830182096734,155,0.9
0.3,-0.0621343470660168,0.12803115431674,96.0195974917271,155,0.9
0.4,-0.0646897255387622,0.127993085460974,101.186641654663,155,0.9
0.5,-0.067370166791951,0.127955531427211,106.289953052805,155,0.9
0.6,-0.0701765423523758,0.12791849223774,111.215518472997,155,0.9
0.7,-0.0731097212663679,0.127881967913976,115.831741245137,155,0.9
0.75,-0.0746241328622372,0.127863898833187,117.979069156388,155,0.9
0.8,-0.0761705700289231,0.127845958476459,119.994369789935,155,0.9
0.9,-0.0793599525128434,0.127810463944851,123.554383239686,155,0.9
1,-0.0826787298979025,0.127775484337942,126.368562942558,155,0.9
