"method","H","M_hat","ess","sum_weights"
"trad",155,0.128148449580023,80.9798361750233,0.128148449580023
"ps_marg_logit",155,0.126478908330717,119.459420468322,0.149180265689161
"ps_x_logit",155,0.127976593226831,116.255187716026,0.148922348115426
"ps_x_spline",155,0.127480002307296,96.3805316490304,0.12758938726743
"scap_x_l050",155,0.127955531427211,106.289953052805,0.142871363913131
"scap_x_l075",155,0.127863898833187,117.979069156388,0.150217064928864
"scap_x_l100",155,0.127775484337942,126.368562942558,0.157552177052533
"ipcw_marg",155,0.128259431176291,80.9728125351334,82.7273331087077
"ipcw_x",155,0.128405870536436,80.9648957946257,82.8217864960011
"gscap_x_l050",155,0.128107700830732,106.544024181859,82.6294670358223
"gscap_x_l100",155,0.127809531125029,126.545357337838,82.4371475756435
