"method","tau_H","M_hat","ess","sum_weights","H","H_quantile"
"ipcw_marg",0.0121295980442503,0.529533940215215,14.5695045997471,20.1222897281782,263,0.7
"ipcw_x",0.0366945709658286,0.566756781667982,13.3806386922763,21.5367577033833,263,0.7
"ps_marg_logit",-0.132071820235499,0.53076193697423,18.9629114202478,0.999448741730992,263,0.7
"ps_x_logit",-0.12789918315326,0.545875225265166,18.0007178701656,0.999879361390453,263,0.7
"ps_x_spline",-0.155732241783972,0.502403321978247,12.9872185548401,0.999999917067066,263,0.7
"scap_x_l050",-0.0728190274956425,0.529419236519339,18.8139936290424,0.995803954662876,263,0.7
"scap_x_l075",-0.11296110730108,0.53050201632619,20.0459824703293,0.993644566229151,263,0.7
"scap_x_l100",-0.150937280526965,0.532022568568463,20.126428895176,0.991520373388818,263,0.7
"trad",0.0130521631502977,0.528559890401996,14.5587114822163,1,263,0.7
"ipcw_marg",-0.0587570841571273,0.67067375815065,17.3761452122606,25.4856028097247,357.6,0.8
"ipcw_x",-0.084669464500198,0.695531339686854,16.2428636697541,26.4301909081004,357.6,0.8
"ps_marg_logit",-0.166413864257061,0.667163983543765,21.119404885164,0.999448741730992,357.6,0.8
"ps_x_logit",-0.124812753390336,0.681522968241369,20.472616258627,0.999879361390453,357.6,0.8
"ps_x_spline",-0.175210602706424,0.651682193383416,15.8093167278516,0.999999917067066,357.6,0.8
"scap_x_l050",-0.114204445583629,0.664279509287747,21.0520253233229,0.995803954662876,357.6,0.8
"scap_x_l075",-0.141144174420063,0.661872800281676,22.1321342849329,0.993644566229151,357.6,0.8
"scap_x_l100",-0.167255621105764,0.659779336488742,22.3157469514478,0.991520373388818,357.6,0.8
"trad",-0.058365694867875,0.669991923281397,17.3602808093208,1,357.6,0.8
"ipcw_marg",0.043198314525162,0.764766970107607,19.2943010654685,29.0611448640891,529.5,0.9
"ipcw_x",0.0129142406594536,0.788723199516113,18.2171501907733,29.9714815816123,529.5,0.9
"ps_marg_logit",-0.0868766467626168,0.774661626468401,23.8560360932254,0.999448741730992,529.5,0.9
"ps_x_logit",-0.0534847121978715,0.753300877819809,22.8725705187084,0.999879361390453,529.5,0.9
"ps_x_spline",-0.0672094067157327,0.751201525236044,17.7368681792117,0.999999917067066,529.5,0.9
"scap_x_l050",-0.0206055091700102,0.761785548510701,23.3381844212407,0.995803954662876,529.5,0.9
"scap_x_l075",-0.0502748993457051,0.761109167513289,24.6276130114633,0.993644566229151,529.5,0.9
"scap_x_l100",-0.078061853490699,0.760826707137702,25.0197901256126,0.991520373388818,529.5,0.9
"trad",0.043344552090991,0.764279945200998,19.2765073528295,1,529.5,0.9
"ipcw_marg",-0.0030666178127381,0.823575227580706,20.0843182713543,31.2958586480668,629.85,0.95
"ipcw_x",-0.0373840105277819,0.854808463495809,18.9714990801899,32.4827216128407,629.85,0.95
"ps_marg_logit",-0.115000101852815,0.803790967679578,25.1528821303988,0.999448741730992,629.85,0.95
"ps_x_logit",-0.105681324798664,0.833225225109287,23.4682584389509,0.999879361390453,629.85,0.95
"ps_x_spline",-0.131151631597455,0.834134298564234,17.9820034496156,0.999999917067066,629.85,0.95
"scap_x_l050",-0.069471364760886,0.822846969035698,25.2008603722919,0.995803954662876,629.85,0.95
"scap_x_l075",-0.0981784129241377,0.824839565850897,26.6027169082607,0.993644566229151,629.85,0.95
"scap_x_l100",-0.122524851156688,0.828292087077419,26.4922706151962,0.991520373388818,629.85,0.95
"trad",-0.00291561093727366,0.823209958900748,20.0643174857905,1,629.85,0.95
