"lambda","tau_H","M_hat","ess","H","H_quantile"
0,0.043344552090991,0.764279945200998,19.2765073528295,529.5,0.9
0.1,0.0301372423527305,0.763662379983356,20.1577004158101,529.5,0.9
0.2,0.0171210996367746,0.763103403845783,21.0231662454268,529.5,0.9
0.3,0.00431368166464285,0.762603785175869,21.8552974499667,529.5,0.9
0.4,-0.00826759560639496,0.76216426349737,22.6341607720067,529.5,0.9
0.5,-0.0206055091700102,0.761785548510701,23.3381844212407,529.5,0.9
0.6,-0.0326830806818545,0.761468319143298,23.9452001006155,529.5,0.9
0.7,-0.0444836284575987,0.761213222610914,24.4338058901225,529.5,0.9
0.75,-0.0502748993457051,0.761109167513289,24.6276130114633,529.5,0.9
0.8,-0.0559908195117145,0.761020873490899,24.7849436263911,529.5,0.9
0.9,-0.0671887213834321,0.760891852808566,24.9835123266409,529.5,0.9
1,-0.078061853490699,0.760826707137702,25.0197901256126,529.5,0.9
