"scenario_id","block","n","x_type","cov_effect","target_censor2","H_quantile","tau_design","tau_H_true","method","n_boot_datasets","coverage","mean_width","median_width","mean_point","bias","mse","mean_n_boot_valid"
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"ipcw_marg",120,0.925,0.236490227239944,0.232389881126397,-0.07958757697452,-0.00752459401063738,0.00343284909475089,250
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"ipcw_marg",120,0.958333333333333,0.19432723190152,0.191060320362656,0.380001345096164,-0.0022900578659405,0.00244452381914209,250
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"ipcw_marg",120,0.941666666666667,0.233505481241359,0.231541598371866,-0.0778296454846257,0.00931180340517913,0.00345683530120581,250
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"ipcw_marg",120,0.916666666666667,0.198843243890405,0.200764304429474,0.344596033723015,0.0200853102671545,0.00287763173512993,250
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"ipcw_marg",120,0.941666666666667,0.238901658558566,0.235239795569567,-0.0428382353773401,-0.0122213193270401,0.00369233838972071,250
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"ipcw_marg",120,0.958333333333333,0.182565146066227,0.18151480435602,0.433950305586978,-0.00142238749868095,0.00173337220549122,250
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"ipcw_x",120,0.983333333333333,0.290253442676133,0.271096301025677,-0.0797123529521189,-0.00764936998823628,0.00448627085829394,250
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"ipcw_x",120,0.95,0.22935655035832,0.223306776862683,0.381294597056716,-0.000996805905388194,0.00347623397104456,250
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"ipcw_x",120,0.95,0.35526846206788,0.350601119404372,-0.062756676940266,0.0243847719495388,0.0143846438240992,250
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"ipcw_x",120,0.941666666666667,0.264004003251653,0.248733145377094,0.302870948980579,-0.0216397744752812,0.00862102461100493,250
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"ipcw_x",120,0.95,0.449182073037961,0.44349303552799,-0.0131342739245366,0.0174826421257634,0.0245994872463192,250
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"ipcw_x",120,0.983333333333333,0.313389550990833,0.295555662683209,0.416290532059039,-0.0190821610266202,0.00860553793181188,250
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"ps_x_spline",120,0.958333333333333,0.235429831077803,0.23287100951844,-0.0774083421873264,-0.00534535922344384,0.00326992174493848,250
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"ps_x_spline",120,0.966666666666667,0.196914536324964,0.192780891636358,0.366735875536582,-0.0155555274255224,0.00304247643513412,250
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"ps_x_spline",120,0.958333333333333,0.221935115911766,0.218783780522483,-0.0804148636234795,0.00672658526632528,0.00284733169720288,250
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"ps_x_spline",120,0.975,0.19863138009887,0.197938216308829,0.330922440549127,0.00641171709326708,0.00202150784990042,250
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"ps_x_spline",120,0.95,0.241291973272914,0.236460737327094,-0.0391097133152279,-0.00849279726492791,0.00335685992774149,250
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"ps_x_spline",120,0.983333333333333,0.185976818868529,0.185525448305663,0.429272417493578,-0.0061002755920807,0.00174641048364403,250
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"scap_x_l050",120,0.95,0.229424439947888,0.229587700870235,-0.0765470177738116,-0.004484034809929,0.00260885934805774,250
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"scap_x_l050",120,0.916666666666667,0.188601844582572,0.188711527642069,0.360810211542073,-0.0214811914200308,0.00263831343593666,250
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"scap_x_l050",120,0.966666666666667,0.227036900121015,0.226335294216651,-0.0783993750639778,0.00874207382582696,0.00274069873862916,250
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"scap_x_l050",120,0.975,0.19274404516625,0.192562704410953,0.327756756607211,0.00324603315135069,0.00211167538666475,250
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"scap_x_l050",120,0.95,0.233973897049056,0.22828750130456,-0.0418748965274989,-0.0112579804771989,0.00322220643512669,250
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"scap_x_l050",120,0.966666666666667,0.175871533162332,0.177652880249008,0.419880226880614,-0.0154924662050452,0.00174021110013188,250
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"scap_x_l075",120,0.95,0.226647284022658,0.226127902259759,-0.0754792476336442,-0.00341626466976156,0.00238817276502529,250
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"scap_x_l075",120,0.933333333333333,0.188953010992011,0.186132932847381,0.350009849628012,-0.032281553334092,0.00329271018164528,250
