"block","comparison","method_new","method_ref","n_scenarios","abs_bias_reduction_mean","abs_bias_reduction_median","abs_bias_reduction_prop_positive","mse_reduction_mean","mse_reduction_median","mse_reduction_prop_positive","rel_mse_mean","rel_mse_median","rel_mse_prop_less_than_1"
"A_independent","G-sCAP(0.50) vs IPCW-X","gscap_x_l050","ipcw_x",48,-0.010136035230964,-0.0108768095983281,0.166666666666667,-1.23402095496962e-05,-4.740186123809e-05,0.416666666666667,1.02538697854864,1.03049793553878,0.416666666666667
"A_independent","G-sCAP(1.00) vs IPCW-X","gscap_x_l100","ipcw_x",48,-0.0205886671085103,-0.0221503218871529,0.145833333333333,-0.000753240591163622,-0.0005142023128876,0.270833333333333,1.29064987665253,1.22149028218055,0.270833333333333
"A_independent","G-sCAP(0.50) vs PL-sCAP(0.50)","gscap_x_l050","scap_x_l050",48,-0.00293861448051043,-0.000114991619096345,0.333333333333333,-0.00188685545762022,-8.1265091250315e-05,0.0208333333333333,1.34920682460184,1.04725331798931,0.0208333333333333
"A_independent","G-sCAP(1.00) vs PL-sCAP(0.50)","gscap_x_l100","scap_x_l050",48,-0.0133912463580567,-0.0112004301733626,0.125,-0.00262775583923415,-0.000665638796482123,0.145833333333333,1.63356337825543,1.40960718474299,0.145833333333333
"B_covariate_dependent","G-sCAP(0.50) vs IPCW-X","gscap_x_l050","ipcw_x",96,-0.00496384504947616,-0.00540457869865921,0.34375,0.000120628287667895,0.00016526294460991,0.604166666666667,0.966028394779718,0.97234463534538,0.604166666666667
"B_covariate_dependent","G-sCAP(1.00) vs IPCW-X","gscap_x_l100","ipcw_x",96,-0.0114635146128948,-0.0129390196445038,0.302083333333333,-0.000807531980530802,-0.000125640703989625,0.46875,1.07496028984677,1.03352907056933,0.46875
"B_covariate_dependent","G-sCAP(0.50) vs PL-sCAP(0.50)","gscap_x_l050","scap_x_l050",96,-0.00750807529901594,-0.00209574008388695,0.3125,-0.00742623081764549,-0.00385994486882023,0.0104166666666667,2.86510218074092,2.56464462445019,0.0104166666666667
"B_covariate_dependent","G-sCAP(1.00) vs PL-sCAP(0.50)","gscap_x_l100","scap_x_l050",96,-0.0140077448624346,-0.00833631069005432,0.208333333333333,-0.00835439108584419,-0.00405604618833428,0.0104166666666667,3.07793890879117,2.82279626770094,0.0104166666666667
"C_nonlinear_observability","G-sCAP(0.50) vs IPCW-X","gscap_x_l050","ipcw_x",48,-0.010226430355006,-0.00664830552526342,0.229166666666667,-0.000649992138174601,0.00024428373136423,0.583333333333333,0.990251643279081,0.931781347496954,0.583333333333333
"C_nonlinear_observability","G-sCAP(1.00) vs IPCW-X","gscap_x_l100","ipcw_x",48,-0.0206286514857236,-0.0135661120633635,0.270833333333333,-0.00367734572591689,-0.000635123739734926,0.395833333333333,1.20455710747457,1.09052250108875,0.395833333333333
"C_nonlinear_observability","G-sCAP(0.50) vs PL-sCAP(0.50)","gscap_x_l050","scap_x_l050",48,-0.00926509117400059,-0.00606332157140913,0.4375,-0.0118229410820859,-0.00576930504282594,0.0416666666666667,4.76147075745544,3.94538244486912,0.0416666666666667
"C_nonlinear_observability","G-sCAP(1.00) vs PL-sCAP(0.50)","gscap_x_l100","scap_x_l050",48,-0.0196673123047182,-0.0132493639162337,0.416666666666667,-0.0148502946698282,-0.00691331404428239,0.0416666666666667,5.98887497803686,4.37768932070286,0.0416666666666667
