"block","method","n_wins","n_scenarios","win_rate"
"A_independent","ipcw_marg",9,48,0.1875
"A_independent","ipcw_x",0,48,0
"A_independent","ps_marg_logit",2,48,0.0416666666666667
"A_independent","ps_x_logit",0,48,0
"A_independent","ps_x_spline",6,48,0.125
"A_independent","scap_marg_l050",2,48,0.0416666666666667
"A_independent","scap_x_l025",10,48,0.208333333333333
"A_independent","scap_x_l050",0,48,0
"A_independent","scap_x_l075",1,48,0.0208333333333333
"A_independent","scap_x_l100",9,48,0.1875
"A_independent","scap_x_nocf_l050",6,48,0.125
"A_independent","scap_x_uncal_l050",2,48,0.0416666666666667
"A_independent","trad",1,48,0.0208333333333333
"B_covariate_dependent","ipcw_marg",3,96,0.03125
"B_covariate_dependent","ipcw_x",1,96,0.0104166666666667
"B_covariate_dependent","ps_marg_logit",10,96,0.104166666666667
"B_covariate_dependent","ps_x_logit",13,96,0.135416666666667
"B_covariate_dependent","ps_x_spline",2,96,0.0208333333333333
"B_covariate_dependent","scap_marg_l050",1,96,0.0104166666666667
"B_covariate_dependent","scap_x_l025",15,96,0.15625
"B_covariate_dependent","scap_x_l050",7,96,0.0729166666666667
"B_covariate_dependent","scap_x_l075",5,96,0.0520833333333333
"B_covariate_dependent","scap_x_l100",17,96,0.177083333333333
"B_covariate_dependent","scap_x_nocf_l050",10,96,0.104166666666667
"B_covariate_dependent","scap_x_uncal_l050",9,96,0.09375
"B_covariate_dependent","trad",3,96,0.03125
"C_nonlinear_observability","ipcw_marg",1,48,0.0208333333333333
"C_nonlinear_observability","ipcw_x",0,48,0
"C_nonlinear_observability","ps_marg_logit",18,48,0.375
"C_nonlinear_observability","ps_x_logit",3,48,0.0625
"C_nonlinear_observability","ps_x_spline",0,48,0
"C_nonlinear_observability","scap_marg_l050",0,48,0
"C_nonlinear_observability","scap_x_l025",11,48,0.229166666666667
"C_nonlinear_observability","scap_x_l050",2,48,0.0416666666666667
"C_nonlinear_observability","scap_x_l075",0,48,0
"C_nonlinear_observability","scap_x_l100",3,48,0.0625
"C_nonlinear_observability","scap_x_nocf_l050",5,48,0.104166666666667
"C_nonlinear_observability","scap_x_uncal_l050",5,48,0.104166666666667
"C_nonlinear_observability","trad",0,48,0
