"block","method","n_wins","n_scenarios","win_rate"
"A_independent","trad",1,48,0.0208333333333333
"A_independent","ipcw_marg",9,48,0.1875
"A_independent","ps_marg_logit",1,48,0.0208333333333333
"A_independent","ps_x_spline",6,48,0.125
"A_independent","scap_x_l025",10,48,0.208333333333333
"A_independent","scap_x_l100",11,48,0.229166666666667
"A_independent","scap_x_nocf_l050",6,48,0.125
"A_independent","scap_x_uncal_l050",4,48,0.0833333333333333
"B_covariate_dependent","trad",1,96,0.0104166666666667
"B_covariate_dependent","ipcw_marg",3,96,0.03125
"B_covariate_dependent","ipcw_x",1,96,0.0104166666666667
"B_covariate_dependent","ps_marg_logit",7,96,0.0729166666666667
"B_covariate_dependent","ps_x_logit",14,96,0.145833333333333
"B_covariate_dependent","ps_x_spline",2,96,0.0208333333333333
"B_covariate_dependent","scap_marg_l050",4,96,0.0416666666666667
"B_covariate_dependent","scap_x_l025",16,96,0.166666666666667
"B_covariate_dependent","scap_x_l050",3,96,0.03125
"B_covariate_dependent","scap_x_l075",5,96,0.0520833333333333
"B_covariate_dependent","scap_x_l100",20,96,0.208333333333333
"B_covariate_dependent","scap_x_nocf_l050",9,96,0.09375
"B_covariate_dependent","scap_x_uncal_l050",11,96,0.114583333333333
"C_nonlinear_observability","ipcw_marg",1,48,0.0208333333333333
"C_nonlinear_observability","ps_marg_logit",17,48,0.354166666666667
"C_nonlinear_observability","ps_x_logit",2,48,0.0416666666666667
"C_nonlinear_observability","ps_x_spline",1,48,0.0208333333333333
"C_nonlinear_observability","scap_marg_l050",1,48,0.0208333333333333
"C_nonlinear_observability","scap_x_l025",9,48,0.1875
"C_nonlinear_observability","scap_x_l050",3,48,0.0625
"C_nonlinear_observability","scap_x_l100",5,48,0.104166666666667
"C_nonlinear_observability","scap_x_nocf_l050",5,48,0.104166666666667
"C_nonlinear_observability","scap_x_uncal_l050",4,48,0.0833333333333333
