"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios"
1,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.8,192
2,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.9,192
3,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.8,192
4,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.9,192
5,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.8,192
6,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.9,192
7,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.8,192
8,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.9,192
9,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.8,192
10,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.9,192
11,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.8,192
12,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.9,192
13,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.3,0.8,192
14,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.3,0.9,192
15,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.5,0.8,192
16,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.5,0.9,192
17,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.3,0.8,192
18,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.3,0.9,192
19,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.5,0.8,192
20,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.5,0.9,192
21,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.3,0.8,192
22,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.3,0.9,192
23,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.5,0.8,192
24,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.5,0.9,192
25,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.3,0.8,192
