"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios","H","tau_H_true","tau_untruncated_true","censor_base_rate","p_d1_theory","p_d2_theory","target_censor2_check","N_TRUTH"
1,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.8,192,2.96576376828973,-0.459597623905273,-0.505375963600477,0.168785421940204,0.853509230486748,0.700000000000369,0.299999999999631,200000
2,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.9,192,3.69201160004096,-0.468194381852656,-0.506799557200473,0.16881194123584,0.85320200842615,0.700000000000365,0.299999999999635,200000
3,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.8,192,2.96450379611449,-0.461487894530277,-0.505533525600469,0.342549542801801,0.742401625883305,0.5,0.5,200000
4,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.9,192,3.70282381098719,-0.465769603334134,-0.505623887400474,0.342606201104912,0.742544002367413,0.5,0.5,200000
5,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.8,192,2.96942415537424,-0.460487220624023,-0.507167992300474,0.168640840902564,0.853865836638459,0.700000000000369,0.299999999999631,200000
6,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.9,192,3.70395031922448,-0.465394860247724,-0.505758984900473,0.168904576646135,0.853161804021045,0.700000000000366,0.299999999999634,200000
7,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.8,192,2.97113613306375,-0.461843058436528,-0.506604197300472,0.342348455262922,0.741906259412458,0.5,0.5,200000
8,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.9,192,3.69403953838357,-0.466023646173649,-0.504317750100471,0.3428872240284,0.743299641257776,0.5,0.5,200000
9,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.8,192,2.96668794971144,-0.459297501249028,-0.506230899100477,0.168731061112296,0.85388561869466,0.70000000000037,0.29999999999963,200000
10,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.3,0.9,192,3.68527460925482,-0.467499789877353,-0.505098692900472,0.168922715153687,0.853066829420612,0.700000000000353,0.299999999999647,200000
11,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","none","exp",0.5,0.8,192,2.95984514083842,-0.457752391405272,-0.505486768700468,0.34303344557676,0.743104817234266,0.5,0.5,200000
