"block","method","status","N"
"A_independent","gscap_x_l050","ok",48000
"B_covariate_dependent","gscap_x_l050","ok",96000
"C_nonlinear_observability","gscap_x_l050","ok",48000
"A_independent","gscap_x_l100","ok",48000
"B_covariate_dependent","gscap_x_l100","ok",96000
"C_nonlinear_observability","gscap_x_l100","ok",48000
"A_independent","ipcw_marg","ok",48000
"B_covariate_dependent","ipcw_marg","ok",96000
"C_nonlinear_observability","ipcw_marg","ok",48000
"A_independent","ipcw_x","ok",48000
"B_covariate_dependent","ipcw_x","ok",96000
"C_nonlinear_observability","ipcw_x","ok",48000
"A_independent","ps_marg_logit","ok",48000
"B_covariate_dependent","ps_marg_logit","ok",96000
"C_nonlinear_observability","ps_marg_logit","ok",48000
"A_independent","ps_x_logit","ok",48000
"B_covariate_dependent","ps_x_logit","ok",96000
"C_nonlinear_observability","ps_x_logit","ok",48000
"A_independent","ps_x_spline","ok",48000
"B_covariate_dependent","ps_x_spline","ok",96000
"C_nonlinear_observability","ps_x_spline","ok",48000
"A_independent","scap_marg_l050","ok",48000
"B_covariate_dependent","scap_marg_l050","ok",96000
"C_nonlinear_observability","scap_marg_l050","ok",48000
"A_independent","scap_x_l025","ok",48000
"B_covariate_dependent","scap_x_l025","ok",96000
"C_nonlinear_observability","scap_x_l025","ok",48000
"A_independent","scap_x_l050","ok",48000
"B_covariate_dependent","scap_x_l050","ok",96000
"C_nonlinear_observability","scap_x_l050","ok",48000
"A_independent","scap_x_l075","ok",48000
"B_covariate_dependent","scap_x_l075","ok",96000
"C_nonlinear_observability","scap_x_l075","ok",48000
"A_independent","scap_x_l100","ok",48000
"B_covariate_dependent","scap_x_l100","ok",96000
"C_nonlinear_observability","scap_x_l100","ok",48000
"A_independent","scap_x_nocf_l050","ok",48000
"B_covariate_dependent","scap_x_nocf_l050","ok",96000
"C_nonlinear_observability","scap_x_nocf_l050","ok",48000
"A_independent","scap_x_uncal_l050","ok",48000
"B_covariate_dependent","scap_x_uncal_l050","ok",96000
"C_nonlinear_observability","scap_x_uncal_l050","ok",48000
"A_independent","trad","ok",48000
"B_covariate_dependent","trad","ok",96000
"C_nonlinear_observability","trad","ok",48000
